datetime,temp
12/27/2022,18.8
12/28/2022,19.3
12/29/2022,21.8
12/30/2022,20.6
12/31/2022,18.7
1/1/2023,19
1/2/2023,18.6
1/3/2023,18.2
1/4/2023,17.4
1/5/2023,16.4
1/6/2023,17.9
1/7/2023,19.9
1/8/2023,19.4
1/9/2023,18.8
1/10/2023,19.4
1/11/2023,21.3
1/12/2023,19.5
1/13/2023,16.2
1/14/2023,15.2
1/15/2023,14.3
1/16/2023,15.9
1/17/2023,15.7
1/18/2023,16.9
1/19/2023,18
1/20/2023,17.5
1/21/2023,16.8
1/22/2023,15.8
1/23/2023,15.4
1/24/2023,14.6
1/25/2023,14.8
1/26/2023,15.3
1/27/2023,16.1
1/28/2023,17.4
1/29/2023,17.6
1/30/2023,18.1
1/31/2023,19.3
2/1/2023,18
2/2/2023,18.1
2/3/2023,18.9
2/4/2023,20.7
2/5/2023,21.3
2/6/2023,24.7
2/7/2023,21.8
2/8/2023,21.6
2/9/2023,22.8
2/10/2023,23.7
2/11/2023,23.2
2/12/2023,22.5
2/13/2023,20.8
2/14/2023,21.6
2/15/2023,22.2
2/16/2023,22.2
2/17/2023,22.5
2/18/2023,22.1
2/19/2023,22
2/20/2023,23.6
2/21/2023,24.4
2/22/2023,23.3
2/23/2023,23.3
2/24/2023,23.3
2/25/2023,24.5
2/26/2023,25.3
2/27/2023,24.6
2/28/2023,24.3
3/1/2023,24.4
3/2/2023,26.3
3/3/2023,26.7
3/4/2023,27.4
3/5/2023,27.2
3/6/2023,27.9
3/7/2023,26.7
3/8/2023,26.7
3/9/2023,27.5
3/10/2023,27
3/11/2023,27.1
3/12/2023,27.3
3/13/2023,25.4
3/14/2023,25.4
3/15/2023,26.5
3/16/2023,26.5
3/17/2023,27
3/18/2023,26.6
3/19/2023,25.9
3/20/2023,25.1
3/21/2023,24.8
3/22/2023,24.8
3/23/2023,24
3/24/2023,25.3
3/25/2023,25.5
3/26/2023,25.8
3/27/2023,26.8
3/28/2023,26.2
3/29/2023,26.6
3/30/2023,25.7
3/31/2023,26.6
4/1/2023,26.7
4/2/2023,26.3
4/3/2023,27
4/4/2023,26.4
4/5/2023,26.7
4/6/2023,26.5
4/7/2023,28.5
4/8/2023,28.5
4/9/2023,27.7
4/10/2023,26.1
4/11/2023,26.5
4/12/2023,28.6
4/13/2023,28.3
4/14/2023,27.6
4/15/2023,28
4/16/2023,28.3
4/17/2023,28.4
4/18/2023,28.5
4/19/2023,29.3
4/20/2023,30.2
4/21/2023,30
4/22/2023,29.5
4/23/2023,30
4/24/2023,30.4
4/25/2023,29.9
4/26/2023,28.8
